utc_dt_naive,ut_p_kw,ut_pos_ltea_kwh,ut_neg_ltea_kwh,ba_p_kw,ba_pos_ltea_kwh,ba_neg_ltea_kwh,pv_p_kw,pv_pos_ltea_kwh,pv_neg_ltea_kwh
2021-01-10 21:00:36,-29.231,2383104.69172676,34134.4009300208,240.5,135878.6498374345,189516.75843783084,47.36,658886.5203743282,3.5
2021-01-10 21:00:38,-29.617,2383104.69172676,34134.41732061519,240.52,135878.7830312315,189516.75843783084,47.47,658886.5466480807,3.5
2021-01-10 21:00:40,-29.569,2383104.69172676,34134.43023461716,240.52,135878.88836139845,189516.75843783084,47.6,658886.5674764737,3.5
2021-01-10 21:00:42,-29.054000000000002,2383104.69172676,34134.44612796009,240.61,135879.01825205496,189516.75843783084,47.74,658886.5932554553,3.5
2021-01-10 21:00:44,-29.606,2383104.69172676,34134.464431056826,240.59,135879.1686119583,189516.75843783084,47.85,658886.6231356852,3.5
2021-01-10 21:00:46,-29.726,2383104.69172676,34134.48289456608,240.58,135879.31804258082,189516.75843783084,48.02,658886.6529337158,3.5
2021-01-10 21:00:48,-28.772000000000002,2383104.69172676,34134.49890641813,239.86,135879.45135353913,189516.75843783084,48.09,658886.679630354,3.5
2021-01-10 21:00:50,-29.618000000000002,2383104.69172676,34134.51536105573,239.75,135879.58455037995,189516.75843783084,48.300000000000004,658886.7064321865,3.5
2021-01-10 21:00:52,-31.830000000000002,2383104.69172676,34134.53269482619,239.76,135879.71774727423,189516.75843783084,48.36,658886.7332935282,3.5
2021-01-10 21:00:54,-31.77,2383104.69172676,34134.54866158163,239.58,135879.8380414411,189516.75843783084,48.480000000000004,658886.7576160518,3.5
2021-01-10 21:00:56,-31.900000000000002,2383104.69172676,34134.56809098196,239.55,135879.98394520214,189516.75843783084,48.59,658886.7871948833,3.5
2021-01-10 21:00:58,-31.37,2383104.69172676,34134.58384708948,239.19,135880.102363448,189516.75843783084,48.74,658886.811294921,3.5
2021-01-10 21:01:00,-32.03,2383104.69172676,34134.60048347224,238.9,135880.2273819586,189516.75843783084,48.9,658886.8368514192,3.5
2021-01-10 21:01:02,-31.14,2383104.69172676,34134.61827771744,238.21,135880.36123224182,189516.75843783084,49.02,658886.8643430718,3.5
2021-01-10 21:01:08,-34.04,2383104.69172676,34134.670829970586,237.9,135880.7644513777,189516.75843783084,49.46,658886.9477663343,3.5
2021-01-10 21:01:10,-34.14,2383104.69172676,34134.69064033291,237.92000000000002,135880.9031697139,189516.75843783084,49.57,658886.9766576176,3.5
2021-01-10 21:01:12,-34.64,2383104.69172676,34134.710897587356,237.89000000000001,135881.0430853273,189516.75843783084,49.72,658887.005872868,3.5
2021-01-10 21:01:14,-34.26,2383104.69172676,34134.72242557617,237.70000000000002,135881.12236276965,189516.75843783084,49.800000000000004,658887.0224762734,3.5
2021-01-10 21:01:16,-36.86,2383104.69172676,34134.75109094698,237.69,135881.30721215328,189516.75843783084,50.02,658887.0613514018,3.5
2021-01-10 21:01:18,-36.660000000000004,2383104.69172676,34134.77145779746,237.4,135881.439101447,189516.75843783084,50.160000000000004,658887.0891986577,3.5
2021-01-10 21:01:20,-34.99,2383104.69172676,34134.78787151355,237.07,135881.54908030396,189516.75843783084,50.34,658887.1125303429,3.5
2021-01-10 21:01:22,-36.68,2383104.69172676,34134.81154733265,236.92000000000002,135881.7024278817,189516.75843783084,50.480000000000004,658887.1451838868,3.5
2021-01-10 21:01:24,-34.160000000000004,2383104.69172676,34134.82952031317,236.42000000000002,135881.82563895948,189516.75843783084,50.65,658887.1715642111,3.5
2021-01-10 21:01:26,-33.26,2383104.69172676,34134.84914524213,236.42000000000002,135881.96513737374,189516.75843783084,50.86,658887.2015482907,3.5
2021-01-10 21:01:28,-33.8,2383104.69172676,34134.86792302493,236.26,135882.096393562,189516.75843783084,50.97,658887.229851867,3.5
2021-01-10 21:01:30,-34.93,2383104.69172676,34134.885011143146,236.27,135882.21398332203,189516.75843783084,51.15,658887.2552924241,3.5
2021-01-10 21:01:32,-37.37,2383104.69172676,34134.90711559388,236.22,135882.35890306052,189516.75843783084,51.39,658887.2867357162,3.5
2021-01-10 21:01:34,-49.6,2383104.69172676,34134.93335691464,236.20000000000002,135882.48353846284,189516.75843783084,51.47,658887.3138876945,3.5
